Date,Open,High,Low,Close,Adj Close, Volume 
3/27/2018,156.31,162.85,150.75,152.22,152.22,"79,117,000"
3/28/2018,151.65,155.88,150.8,153.03,153.03,"60,029,200"
3/29/2018,155.15,161.42,154.14,159.79,159.79,"59,434,300"
4/2/2018,157.81,159.2,154.11,155.39,155.39,"36,796,000"
4/3/2018,156.55,157.39,150.81,156.11,156.11,"42,543,900"
4/4/2018,152.03,155.56,150.51,155.1,155.1,"49,885,600"
4/5/2018,161.56,161.57,156.65,159.34,159.34,"41,449,600"
4/6/2018,157.73,161.42,156.81,157.2,157.2,"41,644,800"
4/9/2018,157.82,160.53,156.04,157.93,157.93,"34,915,200"
4/10/2018,157.93,165.98,157.01,165.04,165.04,"57,889,300"
4/11/2018,165.36,168.65,163.25,166.32,166.32,"56,144,600"
4/12/2018,166.98,167.45,163.1,163.87,163.87,"38,263,000"
4/13/2018,164.58,165.7,163.77,164.52,164.52,"19,990,600"
4/16/2018,165.72,165.78,163.39,164.83,164.83,"18,119,400"
4/17/2018,165.83,169,165.66,168.66,168.66,"22,743,000"
4/18/2018,166.88,168.12,165.77,166.36,166.36,"20,969,600"
4/19/2018,166.2,168.33,165.2,168.1,168.1,"22,235,000"
4/20/2018,167.79,168.43,165.81,166.28,166.28,"19,119,400"
4/23/2018,167.27,168.45,165.09,165.84,165.84,"23,088,100"
4/24/2018,165.43,166.1,158.19,159.69,159.69,"35,079,900"
4/25/2018,160.14,161.06,156.19,159.69,159.69,"41,083,600"
4/26/2018,173.22,176.27,170.8,174.16,174.16,"77,556,900"
4/27/2018,176.81,177.1,172.6,173.59,173.59,"29,804,700"
4/30/2018,173.79,175.72,171.71,172,172,"20,750,500"
5/1/2018,172,174.02,170.23,173.86,173.86,"26,025,900"
5/2/2018,174.25,178.08,174.2,176.07,176.07,"30,424,500"
5/3/2018,175.13,176.12,172.12,174.02,174.02,"24,026,100"
5/4/2018,173.08,176.98,173.06,176.61,176.61,"17,677,800"
5/7/2018,177.35,179.5,177.17,177.97,177.97,"18,697,200"
